Driver,Class,Team,Total Scored,Drop Adjusted
Markus Bulheller,Bronze,W2W Racing Red,105,105
Stuart P Taylor,Bronze,TGC Racing,98,98
Christian Mittelstädt,Bronze,TLR Meatball,97,97
Robert Stoten,Bronze,Project 88,84,84
Zachary Hanke,Bronze,MAD Sim Racing Yellow,83,83
Jeff Sanders,Bronze,Racoon Sim Racing,80,80
Rudy Vermeule,Bronze,SimAbility Racing Team A,72,72
Kari Fox,Bronze,PandaPink Fury,70,70
Sophie Aeronwen,Bronze,United Sim Team - VOOM,67,67
Max Schulz,Bronze,TLR Paramedic's Pet,63,63
James R Williams,Bronze,Privateer,57,57
Daniel Waghubinger,Bronze,Project 88,57,57
Ola Särnkvist,Bronze,United Sim Team Red,52,52
Jason Finch,Bronze,Privateer,37,37
Petr Vecerek,Bronze,goldFinGer,30,30
Jacob Quail,Bronze,Privateer,28,28
Steve Rubino,Bronze,Privateer,20,20
Linda Noble,Bronze,Driving Ms Daisy,16,16
Klaas Hartman,Bronze,Driving Ms Daisy,16,16
Simon Hartley,Bronze,TGC Bottom Split Heroes,47,47
Paul Coburn,Bronze,TGC Bottom Split Heroes,15,15
Jörn Dobratz,Bronze,Privateer,12,12
Alan Murless,Bronze,PandaPink Hurricanes,6,6
William Nezamis,Bronze,MAD Sim Racing Blue,0,0
David Robson,Bronze,MW Motorsports C Team,0,0
Enis Allajbeu,Bronze,MW Motorsports B Team,0,0
Antonio Teixeira,Bronze,MW Motorsports B Team,0,0
James Lindfield,Bronze,MW Motorsports C Team,0,0
Rene Rotka,Bronze,PandaPink Hurricanes,0,0
Jean Alezi,Bronze,Privateer,0,0
Nigel Stock,Bronze,Privateer,0,0
Tom Paine,Bronze,Privateer,0,0
Patrik Hermansson,Bronze,Privateer,0,0
Mika Hakala,Bronze,Privateer,0,0
Casper Tronøe,Bronze,Privateer,0,0
Tom  Vanduffel,Bronze,Send it or Bend it,-10,-10